year,week_of_year,calls_offered_last_year,calls_offered_avg_last_year,year,week_of_year,calls_handled,calls_abandoned,avg_speed_answer,avg_handle_time,avg_talk,avg_acw,service_level,avg_abandon_time,max_wait_time,day_of_year,day_of_week,calls_offered_last_year,calls_offered_avg_last_year,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,week_day_Monday,week_day_Saturday,week_day_Sunday,week_day_Thursday,week_day_Tuesday,week_day_Wednesday,calls_offered_actual,calls_offered_predicted
2022,50,0.0,0.0,2022,50,1132.0,26.0,57.0,598.5,514.0,84.325,89.37,96.5,517.0,343,4,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1167.0,1168.157437657122
2024,20,975.0,1127.826923076923,2024,20,749.0,28.0,59.0,817.0,711.5,105.5,0.87905,156.0,648.0,135,1,975.0,1127.826923076923,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,783.0,784.3284317312234
2023,23,1246.0,1296.8461538461538,2023,23,929.0,8.0,20.0,552.0,470.5,81.11,0.97535,105.5,440.5,158,2,1246.0,1296.8461538461538,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,945.0,944.6939409282736
2023,26,1146.0,1205.7115384615386,2023,26,986.0,4.0,17.5,438.0,366.0,72.115,0.9812,15.0,380.0,180,3,1146.0,1205.7115384615386,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1002.0,998.2272730509375
2023,46,1385.0,1438.5961538461538,2023,46,908.0,7.0,30.33333333,708.3333333,631.3333333,77.56333333,0.9481,47.0,266.6666667,318,1,1385.0,1438.5961538461538,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,927.0,923.8045564460535
2022,21,0.0,0.0,2022,21,1215.0,9.0,28.0,579.5,508.0,71.48,95.62,48.5,290.0,137,1,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1233.0,1233.4246956127522
2022,32,0.0,0.0,2022,32,1014.0,380.0,500.0,638.5,550.0,88.465,23.04,328.5,1863.0,214,1,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1404.0,1402.227129442676
2022,25,0.0,0.0,2022,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,5,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0,-0.1483862299475902
2022,14,0.0,0.0,2022,14,1666.0,76.0,83.5,596.0,511.5,84.165,81.84,154.0,651.5,87,0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1758.0,1756.1781974084502
2022,42,0.0,0.0,2022,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282,6,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0.0,0.09136598976033383
2023,31,0.0,0.0,2023,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,6,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.0,-0.2562803335398769
2022,11,0.0,0.0,2022,11,1469.0,45.0,82.0,576.0,497.5,78.12,81.46,90.0,507.0,68,2,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1527.0,1525.7530720059954
2024,1,0.0,1158.1153846153845,2024,1,128.0,8.0,24.0,614.0,513.0,101.0,0.8971,1262.5,2571.0,1,0,0.0,1158.1153846153845,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,139.0,140.51898457201446
2024,32,1040.0,885.1346153846154,2024,32,669.0,17.0,37.0,809.0,731.0,78.0,0.9,76.0,530.0,222,4,1040.0,885.1346153846154,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,690.0,692.2609406734202
2023,31,1061.0,0.09433962264150944,2023,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217,5,1061.0,0.09433962264150944,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,-0.4653324287550049
